,Tm,G,MP,FG%,Dist., ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,3P, ,%FGA,Md., ,%3PA,3P%, ,Att.,#,Season Year
122,Oklahoma City Thunder,5,1200,.442,12.8,,.691,.336,.121,.103,.130,.309,,.500,.605,.415,.333,.439,.311,,.444,.762,,.073,26,,.185,.280,,3,0,2017
123,Portland Trail Blazers,4,960,.397,14.3,,.620,.279,.131,.103,.109,.380,,.441,.500,.426,.378,.359,.324,,.337,.682,,.056,15,,.206,.357,,1,0,2017
124,San Antonio Spurs,16,3890,.462,12.7,,.718,.300,.149,.137,.130,.282,,.506,.651,.408,.400,.400,.350,,.435,.891,,.051,62,,.292,.377,,5,0,2017
125,Toronto Raptors,10,2400,.444,13.0,,.704,.282,.167,.096,.160,.296,,.491,.576,.504,.316,.433,.332,,.469,.859,,.044,28,,.379,.360,,1,0,2017
126,Utah Jazz,11,2640,.455,13.5,,.669,.233,.194,.144,.099,.331,,.499,.682,.503,.315,.329,.365,,.465,.798,,.060,48,,.249,.423,,1,0,2017
127,Washington Wizards,13,3145,.457,13.4,,.698,.297,.130,.118,.153,.302,,.518,.612,.426,.485,.443,.317,,.502,.817,,.038,41,,.224,.312,,5,0,2017
128,Atlanta Hawks,10,2425,.432,13.4,,.625,.333,.114,.070,.106,.375,,.491,.592,.474,.390,.267,.333,,.512,.877,,.033,26,,.208,.318,,0,0,2016
129,Boston Celtics,6,1465,.384,13.3,,.648,.356,.074,.082,.136,.352,,.443,.513,.400,.455,.274,.275,,.526,.846,,.019,10,,.249,.340,,1,0,2016
130,Charlotte Hornets,7,1680,.396,11.5,,.769,.339,.178,.115,.137,.231,,.423,.508,.380,.369,.312,.308,,.366,.700,,.021,10,,.138,.278,,1,0,2016
131,Cleveland Cavaliers,21,5040,.469,13.8,,.630,.290,.132,.097,.111,.370,,.506,.643,.344,.413,.421,.406,,.437,.798,,.060,95,,.287,.456,,4,0,2016
132,Dallas Mavericks,5,1200,.436,12.6,,.736,.293,.163,.123,.160,.264,,.488,.605,.394,.360,.462,.290,,.521,.871,,.057,20,,.215,.304,,2,0,2016
133,Detroit Pistons,4,960,.478,12.6,,.691,.296,.176,.126,.093,.309,,.524,.674,.358,.421,.500,.376,,.505,.914,,.027,8,,.323,.500,,1,0,2016
134,Golden State Warriors,24,5785,.455,14.3,,.621,.278,.131,.125,.088,.379,,.492,.618,.372,.395,.409,.393,,.532,.810,,.056,105,,.230,.413,,9,0,2016
135,Houston Rockets,5,1200,.386,13.1,,.668,.234,.243,.112,.079,.332,,.444,.600,.337,.354,.441,.268,,.480,.763,,.063,25,,.289,.268,,3,0,2016
136,Indiana Pacers,7,1680,.441,13.1,,.716,.267,.177,.090,.181,.284,,.464,.550,.366,.404,.463,.383,,.460,.825,,.048,24,,.336,.340,,1,0,2016
137,Los Angeles Clippers,6,1440,.437,13.3,,.771,.237,.176,.155,.202,.229,,.481,.669,.411,.405,.379,.291,,.418,.882,,.061,29,,.120,.214,,1,0,2016
138,Memphis Grizzlies,4,960,.394,11.6,,.803,.354,.154,.080,.218,.197,,.418,.487,.240,.423,.423,.297,,.459,.842,,.031,9,,.234,.333,,2,0,2016
139,Miami Heat,14,3435,.458,12.7,,.762,.257,.192,.146,.169,.238,,.489,.645,.444,.433,.347,.358,,.362,.802,,.041,39,,.351,.404,,5,0,2016
140,Oklahoma City Thunder,18,4320,.452,12.9,,.705,.297,.134,.129,.147,.295,,.502,.632,.377,.367,.471,.333,,.458,.819,,.059,79,,.304,.368,,3,0,2016
141,Portland Trail Blazers,11,2665,.416,14.3,,.649,.264,.123,.123,.138,.351,,.436,.548,.339,.380,.356,.381,,.516,.718,,.050,43,,.250,.442,,2,0,2016
142,San Antonio Spurs,10,2400,.470,12.3,,.769,.277,.164,.169,.159,.231,,.481,.596,.481,.374,.397,.432,,.462,.878,,.035,28,,.326,.500,,2,0,2016
143,Toronto Raptors,20,4875,.421,13.4,,.718,.244,.173,.122,.179,.282,,.469,.636,.367,.434,.364,.298,,.380,.774,,.044,61,,.272,.320,,2,0,2016
144,Atlanta Hawks,16,3890,.431,13.1,,.665,.308,.152,.079,.127,.335,,.488,.658,.365,.241,.379,.317,,.587,.821,,.026,34,,.223,.363,,1,0,2015
145,Boston Celtics,4,960,.420,12.4,,.740,.287,.181,.124,.148,.260,,.478,.632,.350,.439,.367,.256,,.504,.955,,.024,7,,.140,.417,,0,0,2015
146,Brooklyn Nets,6,1465,.435,13.5,,.711,.234,.198,.110,.168,.289,,.468,.564,.485,.345,.393,.354,,.512,.882,,.026,13,,.347,.360,,3,0,2015
147,Chicago Bulls,12,2930,.419,13.1,,.706,.307,.140,.108,.150,.294,,.438,.553,.333,.358,.358,.373,,.566,.818,,.043,39,,.207,.492,,6,1,2015
148,Cleveland Cavaliers,20,4875,.420,13.9,,.653,.264,.161,.096,.132,.347,,.462,.644,.326,.333,.356,.340,,.403,.800,,.047,66,,.258,.378,,3,0,2015
149,Dallas Mavericks,5,1200,.452,12.6,,.735,.274,.185,.124,.150,.265,,.503,.675,.365,.509,.362,.311,,.429,.868,,.067,30,,.238,.345,,3,0,2015
150,Golden State Warriors,21,5115,.453,14.0,,.638,.280,.150,.089,.118,.362,,.498,.655,.353,.350,.421,.374,,.584,.775,,.075,119,,.251,.435,,5,1,2015
151,Houston Rockets,17,4080,.448,12.3,,.670,.318,.204,.064,.085,.330,,.499,.696,.311,.333,.342,.344,,.538,.727,,.091,123,,.237,.315,,2,0,2015
152,Los Angeles Clippers,14,3385,.466,13.6,,.700,.257,.174,.091,.179,.300,,.525,.711,.403,.463,.406,.329,,.518,.761,,.071,73,,.230,.366,,2,0,2015
153,Memphis Grizzlies,11,2640,.425,11.6,,.834,.266,.230,.155,.183,.166,,.447,.565,.338,.483,.385,.312,,.539,.792,,.026,19,,.221,.412,,2,0,2015
154,Milwaukee Bucks,6,1490,.388,12.1,,.794,.321,.138,.127,.208,.206,,.410,.471,.411,.343,.355,.303,,.535,.909,,.025,11,,.248,.481,,1,0,2015
155,New Orleans Pelicans,4,985,.450,13.0,,.749,.266,.160,.151,.172,.251,,.494,.567,.444,.490,.431,.318,,.568,.815,,.059,18,,.118,.000,,0,0,2015
156,Portland Trail Blazers,5,1200,.400,13.6,,.687,.316,.100,.112,.158,.313,,.422,.545,.333,.298,.318,.351,,.339,.913,,.017,7,,.168,.364,,0,0,2015
157,San Antonio Spurs,7,1705,.449,13.2,,.693,.236,.226,.112,.119,.307,,.486,.582,.452,.448,.394,.366,,.527,.940,,.018,10,,.257,.447,,1,0,2015
158,Toronto Raptors,4,985,.416,13.2,,.717,.207,.258,.102,.150,.283,,.462,.699,.396,.222,.415,.300,,.453,.833,,.034,10,,.280,.321,,2,0,2015
159,Washington Wizards,10,2425,.441,13.2,,.724,.295,.135,.114,.181,.276,,.456,.598,.386,.396,.314,.403,,.509,.947,,.026,21,,.262,.443,,1,0,2015
160,Atlanta Hawks,7,1680,.385,15.5,,.583,.234,.134,.080,.134,.417,,.414,.574,.284,.250,.365,.343,,.391,.835,,.013,7,,.170,.308,,1,0,2014
161,Brooklyn Nets,12,2880,.463,13.5,,.698,.256,.170,.134,.138,.302,,.515,.649,.490,.430,.379,.342,,.432,.860,,.031,24,,.268,.411,,1,0,2014
162,Charlotte Bobcats,4,960,.449,12.6,,.718,.299,.186,.083,.150,.282,,.481,.533,.429,.560,.400,.365,,.538,.742,,.040,12,,.224,.263,,0,0,2014
163,Chicago Bulls,5,1225,.422,13.0,,.756,.305,.130,.092,.229,.244,,.451,.592,.314,.389,.367,.333,,.545,.875,,.036,14,,.240,.348,,0,0,2014
164,Dallas Mavericks,7,1680,.451,13.9,,.741,.249,.120,.147,.226,.259,,.478,.609,.452,.472,.350,.376,,.442,.661,,.033,19,,.261,.341,,3,0,2014
165,Golden State Warriors,7,1680,.460,12.9,,.684,.306,.174,.098,.107,.316,,.505,.657,.396,.281,.452,.364,,.592,.776,,.091,50,,.272,.400,,3,0,2014
166,Houston Rockets,6,1515,.445,10.9,,.720,.378,.215,.056,.071,.280,,.495,.558,.407,.290,.590,.318,,.372,.755,,.075,36,,.221,.324,,2,0,2014
167,Indiana Pacers,19,4560,.451,13.4,,.742,.255,.167,.123,.196,.258,,.476,.648,.414,.328,.399,.380,,.496,.777,,.033,44,,.295,.444,,4,1,2014
168,Los Angeles Clippers,13,3120,.461,14.0,,.698,.250,.159,.091,.198,.302,,.507,.671,.373,.416,.450,.355,,.567,.731,,.056,55,,.242,.333,,2,1,2014
169,Memphis Grizzlies,7,1780,.417,10.9,,.827,.311,.238,.118,.159,.173,,.443,.594,.354,.329,.367,.290,,.558,.839,,.016,7,,.262,.250,,3,0,2014
170,Miami Heat,20,4800,.491,13.8,,.674,.292,.121,.086,.175,.326,,.536,.687,.503,.387,.381,.396,,.412,.806,,.040,54,,.323,.428,,2,0,2014
171,Oklahoma City Thunder,19,4685,.450,13.5,,.713,.273,.129,.149,.164,.287,,.500,.659,.397,.383,.421,.323,,.464,.762,,.054,77,,.203,.389,,6,0,2014
172,Portland Trail Blazers,11,2715,.437,13.0,,.740,.268,.162,.131,.179,.260,,.469,.625,.359,.405,.382,.347,,.391,.713,,.031,28,,.199,.400,,3,0,2014
173,San Antonio Spurs,23,5545,.491,12.8,,.733,.277,.176,.100,.179,.267,,.521,.672,.445,.428,.416,.409,,.473,.857,,.024,44,,.278,.449,,3,0,2014
174,Toronto Raptors,7,1680,.441,12.9,,.717,.252,.227,.083,.154,.283,,.492,.641,.466,.279,.400,.313,,.475,.804,,.039,19,,.279,.341,,2,0,2014
175,Washington Wizards,11,2665,.432,13.2,,.789,.281,.131,.124,.253,.211,,.458,.589,.348,.422,.387,.335,,.508,.871,,.039,33,,.211,.308,,3,0,2014
176,Atlanta Hawks,6,1440,.422,13.4,,.759,.239,.185,.082,.252,.241,,.452,.649,.349,.368,.368,.330,,.509,.919,,.052,23,,.179,.400,,1,0,2013
177,Boston Celtics,6,1465,.413,14.0,,.700,.244,.135,.116,.205,.300,,.448,.604,.321,.354,.400,.331,,.508,.854,,.031,13,,.282,.343,,1,0,2013
178,Brooklyn Nets,7,1755,.442,12.5,,.768,.323,.142,.097,.206,.232,,.480,.593,.506,.316,.364,.316,,.491,.767,,.063,32,,.301,.268,,0,0,2013
179,Chicago Bulls,12,2955,.438,12.8,,.787,.304,.123,.139,.221,.213,,.470,.586,.314,.406,.439,.319,,.515,.785,,.029,25,,.235,.313,,2,0,2013
180,Denver Nuggets,6,1440,.438,12.3,,.735,.305,.202,.100,.128,.265,,.484,.626,.369,.412,.385,.311,,.486,.929,,.071,33,,.281,.368,,3,0,2013
181,Golden State Warriors,12,2955,.462,13.6,,.735,.230,.180,.135,.191,.265,,.489,.644,.401,.431,.425,.388,,.495,.769,,.042,40,,.261,.486,,2,0,2013
182,Houston Rockets,6,1440,.424,13.9,,.584,.319,.144,.049,.072,.416,,.479,.619,.329,.333,.257,.347,,.397,.771,,.068,31,,.223,.422,,2,0,2013
183,Indiana Pacers,19,4585,.433,12.5,,.742,.300,.176,.112,.155,.258,,.470,.604,.431,.392,.311,.327,,.460,.882,,.050,64,,.242,.307,,6,0,2013
184,Los Angeles Clippers,6,1440,.467,12.7,,.746,.279,.177,.128,.162,.254,,.522,.667,.463,.431,.411,.304,,.489,.629,,.046,19,,.235,.370,,1,0,2013
185,Los Angeles Lakers,4,960,.442,13.1,,.763,.244,.196,.154,.170,.237,,.496,.776,.426,.313,.340,.270,,.475,.900,,.045,12,,.149,.273,,2,0,2013
186,Memphis Grizzlies,15,3675,.418,12.0,,.818,.277,.208,.114,.219,.182,,.439,.563,.402,.336,.369,.324,,.515,.889,,.019,21,,.369,.354,,4,0,2013
187,Miami Heat,23,5570,.468,12.9,,.736,.308,.117,.111,.199,.264,,.499,.659,.372,.408,.376,.381,,.488,.887,,.052,87,,.378,.438,,2,0,2013
188,Milwaukee Bucks,4,960,.433,12.8,,.700,.326,.150,.072,.153,.300,,.507,.620,.304,.500,.468,.261,,.550,.792,,.029,8,,.207,.211,,0,0,2013
189,New York Knicks,12,2905,.410,13.9,,.712,.287,.095,.123,.207,.288,,.438,.513,.380,.425,.368,.343,,.347,.792,,.049,45,,.193,.444,,3,0,2013
190,Oklahoma City Thunder,11,2665,.427,13.8,,.697,.238,.154,.144,.161,.303,,.460,.645,.348,.426,.324,.349,,.424,.811,,.057,46,,.324,.386,,5,0,2013
191,San Antonio Spurs,21,5190,.463,12.7,,.747,.254,.204,.121,.168,.253,,.492,.646,.449,.397,.379,.378,,.492,.891,,.030,46,,.281,.398,,1,0,2013
192,Atlanta Hawks,6,1465,.401,13.0,,.763,.288,.149,.095,.231,.237,,.430,.599,.380,.244,.327,.310,,.519,.686,,.065,29,,.239,.407,,1,0,2012
193,Boston Celtics,20,4875,.438,12.8,,.789,.291,.117,.130,.251,.211,,.479,.610,.389,.390,.415,.285,,.547,.828,,.044,61,,.294,.333,,0,0,2012
194,Chicago Bulls,6,1440,.421,13.1,,.843,.211,.176,.180,.277,.157,,.436,.598,.341,.379,.410,.342,,.652,.731,,.031,14,,.158,.333,,3,0,2012
195,Dallas Mavericks,4,960,.404,12.4,,.724,.272,.186,.157,.109,.276,,.416,.529,.362,.408,.235,.372,,.372,.844,,.042,10,,.291,.480,,0,0,2012
196,Denver Nuggets,7,1680,.430,11.3,,.787,.357,.195,.088,.147,.213,,.472,.570,.410,.400,.359,.278,,.487,.892,,.054,30,,.256,.382,,2,0,2012
197,Indiana Pacers,11,2665,.424,12.3,,.775,.269,.185,.150,.170,.225,,.455,.591,.426,.389,.329,.320,,.406,.857,,.034,30,,.340,.343,,0,0,2012
198,Los Angeles Clippers,11,2665,.458,12.6,,.783,.261,.194,.121,.207,.217,,.480,.644,.354,.460,.404,.378,,.444,.765,,.080,55,,.283,.451,,2,0,2012
199,Los Angeles Lakers,12,2880,.423,11.8,,.793,.290,.214,.114,.174,.207,,.454,.623,.346,.386,.351,.304,,.490,.794,,.068,61,,.348,.319,,1,0,2012
200,Memphis Grizzlies,7,1705,.427,11.6,,.845,.279,.223,.133,.210,.155,,.452,.577,.429,.310,.402,.289,,.466,.792,,.030,15,,.229,.263,,0,0,2012
201,Miami Heat,23,5570,.460,12.8,,.742,.277,.162,.130,.173,.258,,.499,.672,.424,.414,.354,.347,,.417,.841,,.059,91,,.325,.320,,1,0,2012
202,New York Knicks,5,1200,.417,13.0,,.752,.311,.134,.104,.204,.248,,.464,.544,.367,.474,.400,.275,,.375,.600,,.071,24,,.253,.435,,3,0,2012
203,Oklahoma City Thunder,20,4800,.465,12.5,,.760,.305,.130,.148,.178,.240,,.500,.602,.365,.470,.449,.355,,.413,.801,,.074,106,,.232,.427,,3,0,2012
204,Orlando Magic,5,1225,.398,14.7,,.684,.242,.113,.087,.242,.316,,.425,.543,.409,.324,.351,.341,,.469,.786,,.026,9,,.195,.292,,1,0,2012
205,Philadelphia 76ers,13,3120,.411,12.3,,.832,.262,.166,.178,.226,.168,,.432,.575,.363,.409,.336,.304,,.559,.615,,.045,41,,.170,.379,,2,0,2012
206,San Antonio Spurs,14,3360,.481,12.3,,.713,.286,.201,.101,.124,.287,,.507,.655,.464,.366,.350,.416,,.506,.894,,.024,22,,.347,.445,,2,0,2012
207,Utah Jazz,4,960,.382,11.5,,.869,.280,.216,.137,.236,.131,,.409,.500,.365,.319,.395,.200,,.484,.889,,.023,7,,.133,.167,,2,0,2012
208,Atlanta Hawks,12,2880,.434,13.6,,.816,.219,.177,.102,.319,.184,,.459,.618,.441,.441,.366,.323,,.516,.759,,.044,37,,.240,.275,,0,0,2011
209,Boston Celtics,9,2185,.465,12.3,,.792,.285,.155,.139,.214,.208,,.465,.574,.364,.427,.419,.465,,.506,.896,,.027,16,,.264,.605,,1,0,2011
210,Chicago Bulls,16,3865,.422,12.6,,.762,.325,.153,.074,.210,.238,,.451,.547,.350,.368,.406,.329,,.535,.842,,.051,60,,.254,.321,,7,1,2011
211,Dallas Mavericks,21,5065,.461,13.4,,.703,.234,.184,.146,.138,.297,,.489,.628,.383,.452,.433,.394,,.496,.842,,.045,67,,.253,.424,,6,0,2011
212,Denver Nuggets,5,1200,.423,12.5,,.761,.312,.148,.109,.192,.239,,.440,.550,.333,.262,.446,.370,,.442,.912,,.068,19,,.293,.333,,1,0,2011
213,Indiana Pacers,5,1200,.409,12.7,,.808,.294,.150,.092,.272,.192,,.417,.483,.383,.405,.367,.377,,.437,.724,,.025,10,,.221,.412,,2,1,2011
214,Los Angeles Lakers,10,2400,.446,12.2,,.787,.261,.221,.144,.161,.213,,.489,.655,.465,.393,.336,.289,,.505,.792,,.028,22,,.217,.278,,1,0,2011
215,Memphis Grizzlies,13,3245,.437,10.6,,.856,.301,.255,.120,.179,.144,,.457,.568,.394,.397,.398,.318,,.468,.900,,.027,26,,.344,.333,,5,0,2011
216,Miami Heat,21,5090,.445,13.1,,.756,.264,.164,.122,.206,.244,,.482,.667,.368,.367,.404,.331,,.439,.806,,.060,86,,.269,.386,,4,0,2011
217,New Orleans Hornets,6,1440,.457,12.7,,.805,.206,.227,.160,.211,.195,,.490,.629,.480,.464,.385,.321,,.576,.852,,.046,20,,.298,.400,,1,0,2011
218,New York Knicks,4,960,.386,12.7,,.714,.340,.108,.093,.172,.286,,.401,.487,.278,.258,.386,.347,,.453,.727,,.027,8,,.295,.321,,1,0,2011
219,Oklahoma City Thunder,17,4205,.443,12.8,,.750,.299,.143,.120,.188,.250,,.485,.637,.371,.364,.408,.316,,.436,.794,,.061,78,,.218,.338,,9,0,2011
220,Orlando Magic,6,1440,.409,13.8,,.690,.284,.160,.077,.169,.310,,.475,.651,.397,.314,.325,.262,,.403,.730,,.057,25,,.191,.296,,5,0,2011
221,Philadelphia 76ers,5,1200,.414,12.6,,.799,.250,.176,.176,.196,.201,,.420,.618,.347,.333,.313,.390,,.547,.844,,.054,19,,.244,.350,,0,0,2011
222,Portland Trail Blazers,6,1440,.453,12.1,,.772,.298,.182,.128,.164,.228,,.499,.672,.350,.393,.431,.300,,.450,.867,,.043,19,,.280,.250,,1,0,2011
223,San Antonio Spurs,6,1465,.436,12.2,,.765,.296,.201,.093,.175,.235,,.480,.664,.280,.512,.383,.294,,.465,.875,,.032,12,,.330,.306,,3,1,2011
224,Atlanta Hawks,11,2640,.425,12.2,,.829,.285,.158,.096,.290,.171,,.444,.548,.391,.357,.398,.333,,.429,.840,,.040,32,,.313,.383,,1,0,2010
225,Boston Celtics,24,5785,.453,12.0,,.789,.327,.137,.110,.215,.211,,.477,.577,.418,.365,.421,.363,,.561,.885,,.028,45,,.222,.435,,2,0,2010
226,Charlotte Bobcats,4,960,.443,12.1,,.759,.376,.089,.057,.238,.241,,.495,.566,.400,.438,.433,.279,,.585,1.000,,.046,13,,.162,.455,,1,0,2010
227,Chicago Bulls,5,1200,.439,12.1,,.875,.276,.155,.107,.336,.125,,.459,.513,.478,.435,.414,.296,,.468,.875,,.037,14,,.204,.182,,0,0,2010
228,Cleveland Cavaliers,11,2640,.469,12.4,,.723,.336,.144,.071,.172,.277,,.515,.636,.390,.379,.440,.348,,.557,.785,,.060,47,,.278,.349,,0,0,2010
229,Dallas Mavericks,6,1440,.429,12.7,,.756,.254,.176,.151,.174,.244,,.461,.579,.357,.472,.386,.328,,.494,.763,,.025,9,,.353,.341,,3,0,2010
230,Denver Nuggets,6,1440,.476,11.5,,.769,.406,.072,.106,.185,.231,,.511,.634,.500,.360,.333,.358,,.449,.821,,.072,29,,.239,.500,,3,0,2010
231,Los Angeles Lakers,23,5520,.460,12.6,,.745,.299,.147,.121,.178,.255,,.505,.597,.469,.429,.431,.330,,.464,.803,,.047,83,,.254,.339,,7,0,2010
232,Miami Heat,5,1200,.435,13.3,,.764,.275,.117,.142,.231,.236,,.454,.623,.289,.291,.438,.374,,.500,.618,,.067,25,,.154,.357,,1,0,2010
233,Milwaukee Bucks,7,1680,.424,12.8,,.732,.338,.095,.102,.197,.268,,.466,.569,.453,.368,.345,.309,,.405,.804,,.013,7,,.255,.447,,1,0,2010
234,Oklahoma City Thunder,6,1440,.391,11.9,,.764,.348,.093,.140,.183,.236,,.419,.476,.477,.364,.326,.297,,.464,.818,,.064,27,,.216,.333,,1,0,2010
235,Orlando Magic,14,3385,.463,14.1,,.620,.284,.127,.085,.124,.380,,.523,.605,.508,.476,.382,.366,,.399,.783,,.061,56,,.284,.393,,3,0,2010
236,Phoenix Suns,16,3840,.477,13.2,,.693,.281,.144,.104,.163,.307,,.519,.620,.402,.489,.466,.384,,.452,.840,,.047,56,,.294,.470,,1,0,2010
237,Portland Trail Blazers,6,1440,.430,13.3,,.783,.291,.095,.113,.284,.217,,.443,.612,.341,.500,.282,.380,,.513,.921,,.048,19,,.230,.304,,4,0,2010
238,San Antonio Spurs,10,2400,.464,11.6,,.819,.289,.192,.122,.215,.181,,.491,.621,.457,.417,.391,.338,,.462,.958,,.039,26,,.373,.340,,2,0,2010
239,Utah Jazz,10,2400,.479,11.3,,.781,.372,.117,.096,.196,.219,,.509,.601,.452,.421,.410,.374,,.579,.846,,.039,28,,.190,.364,,4,0,2010
240,Atlanta Hawks,11,2640,.409,12.7,,.762,.285,.156,.109,.212,.238,,.428,.563,.381,.318,.337,.347,,.508,.776,,.059,41,,.301,.241,,3,0,2009
241,Boston Celtics,14,3535,.445,12.9,,.778,.302,.119,.108,.249,.222,,.469,.545,.464,.441,.392,.360,,.544,.926,,.021,23,,.268,.329,,2,0,2009
242,Chicago Bulls,7,1855,.441,12.7,,.779,.333,.084,.110,.252,.221,,.459,.512,.392,.388,.442,.378,,.472,.706,,.044,23,,.207,.500,,2,0,2009
243,Cleveland Cavaliers,14,3385,.463,13.8,,.737,.287,.094,.094,.261,.263,,.508,.656,.434,.384,.418,.336,,.500,.763,,.058,55,,.329,.363,,2,1,2009
