,Tm,G,MP,FG%,Dist., ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,3P, ,%FGA,Md., ,%3PA,3P%, ,Att.,#,Season Year
244,Dallas Mavericks,10,2400,.470,13.7,,.728,.240,.125,.145,.217,.272,,.514,.610,.432,.473,.482,.354,,.435,.795,,.034,25,,.277,.456,,1,0,2009
245,Denver Nuggets,16,3840,.475,12.5,,.731,.361,.088,.077,.206,.269,,.509,.614,.464,.351,.403,.383,,.570,.744,,.081,95,,.187,.460,,5,0,2009
246,Detroit Pistons,4,960,.409,14.2,,.841,.234,.078,.110,.419,.159,,.440,.583,.250,.324,.426,.245,,.474,1.000,,.016,5,,.449,.318,,2,0,2009
247,Houston Rockets,13,3120,.447,13.0,,.735,.315,.119,.087,.213,.265,,.490,.567,.466,.395,.427,.328,,.447,.721,,.035,31,,.237,.339,,6,0,2009
248,Los Angeles Lakers,23,5570,.465,12.3,,.771,.302,.152,.125,.192,.229,,.491,.583,.480,.457,.376,.377,,.451,.813,,.060,102,,.262,.477,,4,0,2009
249,Miami Heat,7,1680,.450,15.0,,.713,.216,.097,.138,.263,.287,,.487,.638,.426,.463,.398,.357,,.444,.600,,.045,19,,.143,.450,,3,0,2009
250,New Orleans Hornets,5,1200,.396,12.7,,.738,.322,.085,.117,.214,.262,,.421,.566,.267,.366,.293,.326,,.505,.800,,.057,19,,.283,.423,,0,0,2009
251,Orlando Magic,24,5835,.457,12.9,,.691,.293,.161,.102,.136,.309,,.501,.596,.454,.413,.419,.360,,.451,.846,,.059,99,,.306,.415,,5,0,2009
252,Philadelphia 76ers,6,1440,.453,12.7,,.789,.296,.109,.136,.249,.211,,.476,.594,.429,.410,.393,.368,,.432,.971,,.051,23,,.295,.357,,2,0,2009
253,Portland Trail Blazers,6,1440,.447,13.4,,.810,.251,.114,.172,.273,.190,,.461,.643,.412,.442,.328,.388,,.377,.758,,.054,22,,.224,.526,,3,0,2009
254,San Antonio Spurs,5,1200,.457,12.5,,.770,.287,.146,.146,.191,.230,,.495,.618,.339,.393,.507,.330,,.377,.862,,.029,10,,.386,.441,,1,0,2009
255,Utah Jazz,5,1200,.432,11.8,,.820,.351,.072,.104,.294,.180,,.452,.563,.448,.500,.303,.342,,.700,.880,,.062,25,,.205,.467,,0,0,2009
256,Atlanta Hawks,7,1680,.411,12.7,,.826,.309,.130,.072,.315,.174,,.430,.565,.446,.278,.325,.322,,.548,.893,,.040,18,,.172,.333,,0,0,2008
257,Boston Celtics,26,6240,.447,12.8,,.776,.295,.125,.135,.220,.224,,.472,.567,.412,.405,.421,.359,,.577,.930,,.044,77,,.213,.495,,4,0,2008
258,Cleveland Cavaliers,13,3120,.420,14.0,,.738,.273,.106,.102,.258,.262,,.446,.601,.324,.327,.379,.345,,.596,.839,,.043,38,,.254,.359,,3,0,2008
259,Dallas Mavericks,5,1200,.401,13.3,,.736,.284,.066,.168,.218,.264,,.421,.545,.385,.288,.372,.346,,.533,.889,,.069,24,,.356,.162,,1,0,2008
260,Denver Nuggets,4,960,.427,10.9,,.797,.418,.071,.113,.195,.203,,.472,.547,.480,.375,.362,.250,,.436,.889,,.088,28,,.153,.364,,0,0,2008
261,Detroit Pistons,17,4080,.455,13.3,,.821,.251,.087,.189,.295,.179,,.480,.616,.409,.452,.402,.341,,.569,.844,,.035,43,,.186,.310,,3,0,2008
262,Houston Rockets,6,1440,.409,12.2,,.746,.354,.133,.055,.203,.254,,.449,.527,.365,.231,.427,.292,,.411,.800,,.023,11,,.225,.444,,3,0,2008
263,Los Angeles Lakers,21,5065,.468,12.3,,.759,.331,.127,.098,.204,.241,,.500,.625,.455,.379,.383,.367,,.511,.795,,.070,105,,.244,.464,,5,0,2008
264,New Orleans Hornets,12,2880,.464,11.9,,.827,.275,.168,.151,.234,.173,,.475,.592,.454,.422,.388,.411,,.442,.899,,.053,46,,.298,.460,,1,0,2008
265,Orlando Magic,10,2400,.469,12.4,,.664,.361,.102,.089,.113,.336,,.527,.610,.429,.388,.459,.356,,.352,.900,,.081,57,,.344,.391,,2,0,2008
266,Philadelphia 76ers,6,1440,.417,10.1,,.895,.406,.092,.152,.246,.105,,.439,.522,.293,.368,.400,.234,,.483,.909,,.065,26,,.191,.333,,3,0,2008
267,Phoenix Suns,5,1250,.461,11.6,,.820,.301,.187,.141,.192,.180,,.488,.581,.429,.448,.430,.338,,.442,.840,,.053,19,,.311,.261,,2,0,2008
268,San Antonio Spurs,17,4130,.446,12.9,,.748,.266,.155,.121,.207,.252,,.469,.614,.395,.396,.382,.375,,.492,.875,,.015,20,,.361,.423,,1,0,2008
269,Toronto Raptors,5,1200,.435,14.6,,.720,.255,.072,.110,.283,.280,,.468,.596,.387,.404,.397,.350,,.563,.929,,.049,18,,.283,.441,,3,0,2008
270,Utah Jazz,12,2905,.445,11.8,,.796,.368,.091,.096,.242,.204,,.469,.607,.315,.362,.361,.350,,.559,.743,,.047,40,,.155,.355,,4,0,2008
271,Washington Wizards,6,1440,.426,13.0,,.738,.286,.169,.067,.217,.262,,.468,.612,.447,.267,.357,.305,,.449,.667,,.051,23,,.246,.241,,1,0,2008
272,Chicago Bulls,10,2400,.430,13.6,,.780,.259,.098,.118,.306,.220,,.451,.546,.324,.427,.420,.355,,.594,.814,,.046,34,,.247,.439,,1,0,2007
273,Cleveland Cavaliers,20,4850,.421,12.6,,.783,.299,.121,.141,.222,.217,,.447,.583,.346,.326,.395,.326,,.487,.833,,.037,53,,.332,.355,,8,0,2007
274,Dallas Mavericks,6,1440,.423,14.0,,.726,.241,.113,.140,.231,.274,,.463,.667,.345,.382,.357,.316,,.423,.905,,.019,9,,.308,.341,,2,0,2007
275,Denver Nuggets,5,1200,.423,10.7,,.819,.385,.093,.169,.171,.181,,.446,.575,.297,.269,.412,.319,,.476,.826,,.068,23,,.208,.333,,0,0,2007
276,Detroit Pistons,16,3890,.430,13.5,,.781,.255,.079,.205,.243,.219,,.453,.568,.417,.422,.369,.350,,.567,.839,,.051,58,,.282,.360,,1,0,2007
277,Golden State Warriors,11,2665,.450,13.9,,.618,.323,.074,.074,.148,.382,,.507,.628,.288,.409,.402,.358,,.329,.795,,.046,40,,.323,.345,,2,1,2007
278,Houston Rockets,7,1680,.410,14.0,,.692,.239,.134,.146,.174,.308,,.450,.620,.426,.351,.318,.321,,.532,.860,,.022,11,,.308,.375,,1,0,2007
279,Los Angeles Lakers,5,1200,.442,12.0,,.770,.323,.172,.088,.186,.230,,.477,.612,.365,.289,.438,.323,,.329,.625,,.047,18,,.192,.579,,1,0,2007
280,Miami Heat,4,960,.445,11.9,,.773,.314,.174,.087,.197,.227,,.481,.638,.404,.462,.305,.324,,.441,1.000,,.090,24,,.294,.300,,1,0,2007
281,New Jersey Nets,12,2880,.444,13.1,,.716,.332,.074,.074,.236,.284,,.475,.592,.431,.262,.389,.368,,.625,.967,,.072,56,,.300,.467,,2,0,2007
282,Orlando Magic,4,960,.478,9.8,,.900,.405,.093,.159,.242,.100,,.492,.598,.519,.261,.457,.345,,.492,.900,,.093,26,,.448,.538,,0,0,2007
283,Phoenix Suns,11,2640,.477,12.0,,.771,.321,.133,.143,.173,.229,,.506,.633,.442,.388,.417,.379,,.561,.769,,.054,46,,.296,.426,,3,0,2007
284,San Antonio Spurs,20,4800,.459,12.4,,.744,.288,.164,.120,.172,.256,,.485,.629,.421,.413,.356,.384,,.462,.934,,.031,41,,.420,.485,,2,0,2007
285,Toronto Raptors,6,1440,.442,14.4,,.803,.234,.075,.122,.372,.197,,.460,.495,.424,.481,.439,.368,,.411,.938,,.027,10,,.253,.500,,3,0,2007
286,Utah Jazz,17,4105,.459,11.7,,.841,.323,.127,.127,.264,.159,,.481,.599,.424,.390,.407,.341,,.564,.945,,.031,40,,.164,.314,,3,0,2007
287,Washington Wizards,4,960,.413,13.0,,.753,.280,.157,.105,.211,.247,,.448,.602,.346,.343,.371,.305,,.446,1.000,,.030,8,,.293,.333,,0,0,2007
288,Chicago Bulls,6,1440,.445,13.8,,.740,.255,.100,.114,.271,.260,,.463,.556,.478,.365,.411,.395,,.452,.830,,.015,7,,.244,.448,,0,0,2006
289,Cleveland Cavaliers,13,3170,.437,11.1,,.828,.378,.101,.130,.218,.172,,.462,.635,.337,.300,.317,.320,,.455,.655,,.048,44,,.366,.349,,1,0,2006
290,Dallas Mavericks,23,5620,.451,12.1,,.812,.275,.142,.188,.207,.188,,.482,.589,.379,.447,.444,.317,,.347,.918,,.039,66,,.303,.362,,2,0,2006
291,Denver Nuggets,5,1200,.380,12.1,,.841,.301,.112,.124,.305,.159,,.410,.558,.375,.264,.336,.221,,.581,.867,,.042,15,,.191,.154,,1,0,2006
292,Detroit Pistons,18,4320,.432,13.4,,.751,.258,.087,.203,.203,.249,,.452,.597,.410,.332,.404,.372,,.526,.782,,.040,48,,.324,.306,,2,1,2006
293,Indiana Pacers,6,1440,.443,13.7,,.723,.254,.107,.161,.201,.277,,.482,.542,.533,.456,.400,.342,,.503,.825,,.038,16,,.239,.464,,0,0,2006
294,Los Angeles Clippers,12,2930,.491,12.0,,.852,.271,.151,.195,.235,.148,,.511,.673,.432,.455,.421,.378,,.481,.852,,.043,39,,.182,.385,,2,0,2006
295,Los Angeles Lakers,7,1730,.454,12.5,,.742,.306,.177,.100,.160,.258,,.495,.697,.359,.345,.355,.333,,.388,.740,,.043,23,,.200,.333,,2,0,2006
296,Memphis Grizzlies,4,985,.451,10.4,,.820,.346,.207,.083,.184,.180,,.482,.576,.455,.500,.327,.313,,.410,.867,,.045,11,,.229,.455,,0,0,2006
297,Miami Heat,23,5545,.481,11.9,,.736,.328,.160,.088,.160,.264,,.534,.658,.438,.425,.434,.333,,.417,.884,,.078,124,,.292,.344,,7,0,2006
298,Milwaukee Bucks,5,1200,.471,11.2,,.845,.339,.095,.187,.224,.155,,.481,.559,.579,.453,.344,.419,,.515,.808,,.050,19,,.306,.579,,0,0,2006
299,New Jersey Nets,11,2640,.452,12.6,,.770,.303,.135,.092,.239,.230,,.495,.605,.425,.468,.407,.307,,.591,.932,,.050,41,,.286,.364,,2,0,2006
300,Phoenix Suns,20,4900,.482,12.6,,.717,.320,.118,.124,.155,.283,,.518,.648,.403,.447,.395,.391,,.496,.880,,.043,67,,.240,.434,,3,0,2006
301,Sacramento Kings,6,1465,.443,12.1,,.800,.301,.162,.094,.243,.200,,.472,.617,.447,.409,.333,.330,,.390,.742,,.045,15,,.245,.261,,1,0,2006
302,San Antonio Spurs,13,3195,.492,11.2,,.793,.313,.213,.094,.173,.207,,.518,.671,.420,.374,.443,.392,,.391,.923,,.035,32,,.352,.414,,0,0,2006
303,Washington Wizards,6,1490,.449,12.9,,.756,.292,.167,.074,.222,.244,,.490,.645,.342,.514,.390,.322,,.440,.757,,.047,22,,.191,.409,,1,0,2006
304,Boston Celtics,7,1705,.442,11.1,,.800,.350,.190,.085,.175,.200,,.471,.522,.414,.386,.473,.327,,.439,.882,,.037,19,,.269,.393,,0,0,2005
305,Chicago Bulls,6,1440,.419,13.3,,.726,.268,.154,.120,.185,.274,,.431,.529,.346,.443,.351,.388,,.560,.759,,.031,15,,.259,.389,,0,0,2005
306,Dallas Mavericks,13,3145,.452,12.4,,.793,.307,.102,.152,.231,.207,,.472,.512,.473,.476,.415,.379,,.391,.779,,.048,43,,.225,.431,,4,0,2005
307,Denver Nuggets,5,1225,.417,10.1,,.893,.344,.173,.170,.206,.107,,.436,.563,.353,.463,.272,.262,,.471,.909,,.053,19,,.405,.412,,0,0,2005
308,Detroit Pistons,25,6050,.437,11.8,,.824,.299,.120,.206,.199,.176,,.461,.567,.371,.424,.394,.326,,.555,.850,,.062,110,,.311,.269,,3,0,2005
309,Houston Rockets,7,1680,.466,12.3,,.764,.337,.118,.070,.240,.236,,.485,.582,.468,.324,.405,.403,,.446,.780,,.061,31,,.282,.400,,1,0,2005
310,Indiana Pacers,13,3145,.395,12.8,,.757,.285,.135,.140,.197,.243,,.421,.515,.320,.421,.353,.316,,.560,.890,,.039,34,,.260,.367,,1,0,2005
311,Memphis Grizzlies,4,960,.473,12.0,,.775,.311,.171,.117,.177,.225,,.496,.596,.500,.220,.500,.392,,.444,.774,,.057,19,,.165,.308,,3,0,2005
312,Miami Heat,15,3650,.492,12.0,,.789,.307,.148,.116,.218,.211,,.520,.685,.383,.465,.410,.388,,.464,.833,,.091,94,,.263,.426,,1,0,2005
313,New Jersey Nets,4,1010,.395,13.2,,.746,.280,.121,.118,.227,.254,,.431,.526,.390,.350,.377,.291,,.560,.960,,.047,14,,.209,.111,,1,0,2005
314,Philadelphia 76ers,5,1225,.437,13.1,,.756,.309,.080,.118,.249,.244,,.468,.561,.375,.447,.394,.340,,.518,.788,,.058,21,,.289,.214,,1,0,2005
315,Phoenix Suns,15,3625,.493,11.2,,.767,.351,.153,.134,.131,.233,,.510,.599,.448,.441,.416,.436,,.392,.868,,.078,86,,.267,.481,,5,0,2005
316,Sacramento Kings,5,1200,.445,13.8,,.759,.248,.121,.088,.302,.241,,.498,.626,.481,.395,.431,.279,,.466,.862,,.021,8,,.183,.263,,1,0,2005
317,San Antonio Spurs,23,5570,.454,11.4,,.760,.310,.213,.105,.132,.240,,.474,.629,.400,.292,.375,.389,,.434,.902,,.047,74,,.351,.446,,5,1,2005
318,Seattle Supersonics,11,2640,.458,11.4,,.797,.295,.209,.141,.153,.203,,.496,.665,.416,.367,.400,.306,,.421,.679,,.056,43,,.162,.286,,3,1,2005
319,Washington Wizards,10,2400,.425,13.1,,.772,.253,.154,.127,.238,.228,,.462,.660,.339,.352,.391,.298,,.437,.768,,.052,42,,.197,.405,,0,0,2005
320,Boston Celtics,4,960,.408,12.7,,.777,.323,.110,.131,.213,.223,,.429,.527,.355,.378,.350,.333,,.553,.857,,.046,12,,.206,.538,,1,0,2004
321,Dallas Mavericks,5,1200,.396,11.0,,.820,.317,.191,.110,.201,.180,,.420,.510,.391,.226,.412,.287,,.488,.880,,.023,11,,.253,.364,,0,0,2004
322,Denver Nuggets,5,1200,.427,12.1,,.851,.310,.089,.149,.303,.149,,.442,.600,.282,.308,.394,.338,,.530,.682,,.057,23,,.108,.143,,2,0,2004
323,Detroit Pistons,23,5620,.412,11.4,,.818,.332,.131,.164,.192,.182,,.436,.560,.306,.413,.327,.304,,.595,.773,,.063,97,,.270,.384,,2,0,2004
324,Houston Rockets,5,1225,.427,12.6,,.796,.255,.180,.134,.226,.204,,.459,.674,.313,.360,.393,.303,,.493,.826,,.043,16,,.303,.391,,1,0,2004
325,Indiana Pacers,16,3840,.408,12.5,,.763,.292,.135,.161,.176,.237,,.432,.575,.358,.352,.322,.333,,.508,.895,,.045,48,,.270,.377,,1,0,2004
326,Los Angeles Lakers,22,5330,.444,12.0,,.793,.306,.148,.135,.204,.207,,.476,.643,.409,.357,.352,.321,,.639,.945,,.067,103,,.253,.256,,4,0,2004
327,Memphis Grizzlies,4,960,.424,10.7,,.824,.324,.210,.114,.176,.176,,.452,.596,.393,.394,.294,.294,,.407,.933,,.048,13,,.294,.200,,1,0,2004
328,Miami Heat,13,3120,.408,12.3,,.821,.302,.116,.135,.267,.179,,.437,.534,.434,.382,.358,.276,,.479,.938,,.038,34,,.172,.367,,4,0,2004
329,Milwaukee Bucks,5,1200,.416,11.5,,.815,.355,.085,.144,.231,.185,,.435,.486,.455,.286,.444,.333,,.601,.833,,.057,22,,.375,.370,,0,0,2004
330,Minnesota Timberwolves,18,4345,.441,13.5,,.802,.215,.136,.173,.278,.198,,.454,.594,.344,.454,.399,.387,,.519,.802,,.028,37,,.270,.378,,5,0,2004
331,New Jersey Nets,11,2715,.423,11.7,,.775,.373,.096,.091,.215,.225,,.467,.582,.325,.397,.360,.272,,.628,.878,,.079,57,,.228,.293,,2,0,2004
332,New Orleans Hornets,7,1680,.384,13.4,,.757,.262,.103,.152,.240,.243,,.406,.550,.273,.358,.336,.315,,.622,.805,,.036,18,,.138,.278,,0,0,2004
333,New York Knicks,4,960,.384,12.0,,.819,.281,.144,.153,.241,.181,,.405,.533,.304,.408,.312,.293,,.613,.765,,.025,8,,.241,.357,,0,0,2004
334,Sacramento Kings,12,2905,.425,12.5,,.798,.298,.139,.075,.285,.202,,.445,.562,.341,.360,.394,.348,,.592,.929,,.047,43,,.343,.348,,2,0,2004
335,San Antonio Spurs,10,2400,.440,12.7,,.752,.252,.176,.136,.188,.248,,.464,.609,.433,.337,.392,.365,,.515,.826,,.035,22,,.328,.355,,0,0,2004
336,Boston Celtics,10,2475,.422,13.6,,.693,.292,.114,.109,.178,.307,,.453,.584,.333,.326,.390,.354,,.544,.837,,.032,25,,.296,.403,,2,0,2003
337,Dallas Mavericks,20,4850,.450,13.5,,.731,.233,.149,.144,.205,.269,,.469,.641,.395,.435,.351,.397,,.449,.777,,.028,42,,.225,.385,,3,0,2003
338,Detroit Pistons,17,4130,.410,13.6,,.742,.248,.126,.152,.216,.258,,.430,.563,.399,.298,.387,.352,,.543,.746,,.040,46,,.231,.347,,2,0,2003
339,Indiana Pacers,6,1465,.388,13.4,,.773,.264,.129,.137,.242,.227,,.417,.585,.367,.359,.292,.292,,.633,.774,,.039,17,,.198,.286,,0,0,2003
340,Los Angeles Lakers,12,2905,.448,12.8,,.760,.252,.190,.132,.186,.240,,.478,.643,.368,.439,.392,.354,,.515,.753,,.073,69,,.246,.441,,1,0,2003
341,Milwaukee Bucks,6,1465,.459,12.2,,.786,.298,.109,.199,.180,.214,,.483,.585,.365,.442,.430,.373,,.481,.895,,.013,6,,.176,.556,,1,0,2003
342,Minnesota Timberwolves,6,1465,.463,13.3,,.827,.208,.154,.187,.278,.173,,.490,.634,.413,.407,.481,.333,,.579,.643,,.014,6,,.202,.353,,0,0,2003
343,New Jersey Nets,20,4875,.425,11.3,,.835,.341,.135,.127,.232,.165,,.439,.544,.376,.319,.389,.350,,.585,.860,,.065,91,,.165,.432,,7,0,2003
344,New Orleans Hornets,6,1440,.438,12.0,,.778,.328,.093,.181,.175,.222,,.458,.592,.349,.405,.321,.369,,.558,.737,,.037,16,,.204,.381,,1,0,2003
345,Orlando Magic,7,1680,.424,13.2,,.777,.303,.094,.080,.301,.223,,.455,.561,.354,.366,.403,.316,,.486,.667,,.043,18,,.228,.231,,1,0,2003
346,Philadelphia 76ers,12,2930,.443,11.1,,.859,.357,.099,.143,.261,.141,,.458,.545,.433,.377,.395,.352,,.535,.778,,.035,30,,.234,.300,,0,0,2003
347,Phoenix Suns,6,1465,.386,11.3,,.813,.325,.153,.165,.169,.187,,.407,.509,.377,.313,.329,.298,,.446,.821,,.046,20,,.330,.323,,1,0,2003
348,Portland Trail Blazers,7,1680,.461,11.3,,.785,.322,.177,.101,.184,.215,,.486,.612,.429,.429,.353,.370,,.602,.818,,.069,33,,.286,.412,,2,0,2003
349,Sacramento Kings,12,2930,.459,12.3,,.785,.290,.164,.081,.250,.215,,.484,.624,.446,.398,.375,.367,,.508,.901,,.023,23,,.362,.400,,2,0,2003
350,San Antonio Spurs,24,5785,.441,11.4,,.802,.302,.192,.134,.174,.198,,.463,.599,.414,.344,.374,.351,,.545,.969,,.055,87,,.405,.365,,4,0,2003
351,Utah Jazz,5,1200,.434,12.0,,.913,.252,.175,.136,.350,.087,,.451,.663,.412,.321,.368,.265,,.613,.778,,.039,15,,.118,.250,,1,0,2003
352,Boston Celtics,16,3840,.418,12.9,,.708,.321,.104,.128,.154,.292,,.449,.573,.298,.317,.404,.343,,.501,.794,,.029,34,,.229,.333,,0,0,2002
353,Charlotte Hornets,9,2210,.421,11.1,,.849,.343,.125,.154,.228,.151,,.431,.552,.374,.357,.331,.364,,.551,.725,,.051,33,,.164,.222,,2,0,2002
354,Dallas Mavericks,8,1945,.452,12.9,,.749,.244,.173,.138,.193,.251,,.476,.570,.475,.381,.426,.379,,.442,.687,,.045,31,,.181,.375,,2,0,2002
355,Detroit Pistons,10,2400,.399,13.8,,.693,.276,.113,.125,.179,.307,,.420,.532,.361,.337,.341,.354,,.537,.900,,.042,26,,.292,.348,,1,0,2002
356,Indiana Pacers,5,1250,.458,13.0,,.845,.237,.132,.192,.284,.155,,.467,.567,.420,.452,.417,.407,,.587,.750,,.061,21,,.186,.273,,0,0,2002
357,Los Angeles Lakers,19,4585,.444,11.6,,.776,.290,.222,.119,.145,.224,,.474,.637,.386,.357,.378,.339,,.480,.888,,.090,125,,.281,.365,,2,0,2002
358,Minnesota Timberwolves,3,720,.444,11.1,,.844,.263,.259,.111,.210,.156,,.454,.609,.381,.407,.373,.395,,.419,.600,,.029,7,,.289,.364,,0,0,2002
359,New Jersey Nets,20,4850,.432,11.8,,.824,.318,.132,.142,.232,.176,,.464,.587,.379,.374,.397,.285,,.554,.904,,.051,81,,.141,.415,,2,0,2002
360,Orlando Magic,4,1010,.424,12.9,,.790,.306,.073,.121,.290,.210,,.468,.552,.217,.526,.418,.258,,.534,.941,,.016,5,,.167,.364,,0,0,2002
361,Philadelphia 76ers,5,1200,.413,12.9,,.823,.264,.103,.182,.274,.177,,.436,.546,.342,.448,.356,.308,,.614,.800,,.024,9,,.154,.500,,0,0,2002
362,Portland Trail Blazers,3,720,.382,12.1,,.780,.276,.167,.163,.175,.220,,.385,.559,.390,.250,.233,.370,,.581,.950,,.057,11,,.259,.500,,0,0,2002
363,Sacramento Kings,16,3890,.448,11.9,,.804,.308,.162,.067,.266,.196,,.482,.618,.407,.393,.393,.309,,.501,.925,,.049,61,,.375,.351,,1,0,2002
364,San Antonio Spurs,10,2400,.432,11.8,,.807,.270,.177,.182,.177,.193,,.454,.680,.378,.324,.319,.340,,.452,.860,,.043,29,,.415,.361,,2,0,2002
365,Seattle Supersonics,5,1200,.430,12.0,,.847,.224,.216,.183,.224,.153,,.436,.663,.326,.315,.416,.393,,.442,.917,,.035,12,,.164,.700,,0,0,2002
366,Toronto Raptors,5,1200,.422,12.2,,.863,.295,.067,.215,.285,.137,,.438,.553,.423,.422,.336,.321,,.630,.765,,.047,15,,.132,.143,,0,0,2002
367,Utah Jazz,4,960,.415,12.1,,.855,.280,.135,.154,.286,.145,,.434,.596,.372,.327,.363,.304,,.678,.857,,.050,16,,.217,.500,,1,0,2002
